1251,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15335,31","15335,31"
1251,RAINFOREST,VIAJES_RF,ALQUILER DE VEHÍCULOS,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15335,31","15335,31"
1251,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"15060,81","15060,81"
1251,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"10972,82","10972,82"
1251,RAINFOREST,VIAJES_RF,HOSPEDAJE NACIONAL,A2.7 / 7 / 7.8,Reuniones con autoridades y otras reuniones,1,"13859,1","13859,1"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALIMENTACIÓN / VÍVERES,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3212,31","3212,31"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE SALÓN,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3212,31","3212,31"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,PASAJES TERRESTRES NACIONALES,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3214,73","3214,73"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,HOSPEDAJE NACIONAL,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3212,31","3212,31"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,VIÁTICOS,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3212,31","3212,31"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,COMBUSTIBLE,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"2653,67","2653,67"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE VEHÍCULOS,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3212,31","3212,31"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,"PAGO PONTÓN, PEAJES, ETC",A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3212,31","3212,31"
1261,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,SUMINISTROS DE OFICINA,A4.2 / 6 / 6.1,Reuniones de apoyo a GAD Pando para reuniones de la RECPA,1,"3129,81","3129,81"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALIMENTACIÓN / VÍVERES,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3212,31","3212,31"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE SALÓN,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3212,31","3212,31"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,PASAJES TERRESTRES NACIONALES,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3143,3","3143,3"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,HOSPEDAJE NACIONAL,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3212,31","3212,31"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,VIÁTICOS,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3212,31","3212,31"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,COMBUSTIBLE,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"2310,98","2310,98"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE VEHÍCULOS,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3212,31","3212,31"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,"PAGO PONTÓN, PEAJES, ETC",A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"3212,31","3212,31"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,SUMINISTROS DE OFICINA,A4.3 / 6 / 6.1,Promover intercambios de experiencias entre miembros de la RECPA,1,"2874,81","2874,81"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALIMENTACIÓN / VÍVERES,A4.3 / 6 / 6.2,Realizar talleres de interacmbios de experiencias entre áreas protegidas de la RECPA,1,"55,37","55,37"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,ALQUILER DE SALÓN,A4.3 / 6 / 6.2,Realizar talleres de interacmbios de experiencias entre áreas protegidas de la RECPA,1,"28969,17","28969,17"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,PASAJES TERRESTRES NACIONALES,A4.3 / 6 / 6.2,Realizar talleres de interacmbios de experiencias entre áreas protegidas de la RECPA,1,"13321,97","13321,97"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,HOSPEDAJE NACIONAL,A4.3 / 6 / 6.2,Realizar talleres de interacmbios de experiencias entre áreas protegidas de la RECPA,1,"26652,03","26652,03"
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,VIÁTICOS,A4.3 / 6 / 6.2,Realizar talleres de interacmbios de experiencias entre áreas protegidas de la RECPA,1,25552,25552
1262,RAINFOREST,TALLERES_Y_CAPACITACIONES_RF,COMBUSTIBLE,A4.3 / 6 / 6.2,Realizar talleres de interacmbios de experiencias entre áreas protegidas de la RECPA,1,"26470,89","26470,89"
